hex_id,Year,tornado_count
1842,1962,1
1842,1964,2
1842,1966,1
1842,1985,1
1842,1986,1
1874,1940,1
1874,1973,1
1874,1975,1
1874,2010,1
258,2010,1
263,1995,1
299,2001,1
299,2002,1
301,2005,2
302,1994,1
304,1964,1
304,1967,1
304,1970,1
304,2004,2
304,2005,3
304,2008,1
304,2009,1
304,2011,1
304,2012,1
304,2013,1
304,2015,1
305,1969,1
305,1993,1
305,2001,1
305,2004,1
305,2008,1
333,1993,1
333,2001,1
335,1994,1
335,2001,1
336,1978,1
337,1959,1
337,1961,1
337,1963,1
337,1964,1
337,1967,3
337,1968,2
337,1975,1
337,1982,1
337,1983,2
337,1986,1
337,1993,1
337,1994,1
337,1995,4
337,1996,2
337,1997,1
337,1998,1
337,1999,3
337,2000,3
337,2001,2
337,2002,3
337,2003,2
337,2004,2
337,2005,12
337,2006,2
337,2007,2
337,2008,1
337,2010,1
337,2011,2
337,2012,2
337,2013,2
337,2014,1
338,1954,1
338,1963,1
338,1967,2
338,1975,1
338,1987,1
338,1989,1
338,1993,1
338,1995,1
338,1996,2
338,1999,1
338,2003,1
338,2005,2
338,2006,1
338,2010,2
338,2011,2
339,1960,1
339,1961,1
339,1964,1
339,1967,1
339,1970,1
339,1983,1
339,1995,2
339,1998,2
339,2001,1
339,2004,1
339,2011,1
361,2015,1
369,1992,1
370,1964,1
370,2001,1
371,2004,1
371,2007,1
372,1963,1
372,1972,1
372,1977,1
372,1979,1
372,1994,1
372,1998,4
372,2003,1
372,2006,1
372,2007,1
373,1966,1
373,1997,1
373,2005,1
373,2012,1
374,1959,1
374,1999,1
374,2004,2
374,2005,1
374,2009,1
374,2012,1
375,1995,1
375,1999,1
376,1987,1
403,1996,1
406,1998,1
406,2004,2
407,1981,1
407,1998,2
408,1997,1
408,1998,1
409,1964,1
409,1995,1
409,2009,1
409,2015,1
410,1963,1
410,1994,1
410,1995,1
410,1999,1
431,1975,1
431,1995,1
431,2001,1
442,1966,1
442,1995,1
443,1995,1
445,2008,1
476,1998,2
477,2002,1
479,1997,1
501,1997,1
507,1962,1
512,1962,1
546,2015,2
548,2002,1
548,2005,1
583,2006,1
653,1982,1
709,2011,1
756,1997,1
826,1986,1
913,1995,1
913,2000,1
913,2001,1
914,2001,1
926,2002,1
948,2011,1
951,2003,1
983,2007,1
984,2007,1
984,2011,1
